model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.7080793380737305,0.9404066801071167,1.6889868304133415,4.408666118979454,7.152775872816746,0.9606064558029175,0.8393332958221436,0.5175493955612183,0.9525957703590393,0.12329161167144775,0.8549819588661194,3.6201748996973038,2.407793700695038,0.49192970618605614,3.1731117516756058,0.29717960860580206,0.14374889433383942,100.0,100.0,100.0,1.0,7.613559205310594e-08,bi_glcm_morph_plain_silu_L5_d1024_bn,2,v6,bi_glcm_morph,plain,silu,batchnorm,5,1024,wide,0.001,1083,607,87.9
model,0.7228824496269226,0.9440745115280151,1.663406752049923,4.292353615164757,7.234859228028221,0.9611465334892273,0.8590587377548218,0.673637330532074,0.9549733400344849,0.16561615467071533,0.7227389812469482,3.63813117146492,2.2584449499845505,0.5194679833948612,3.1008215621113777,0.29903207905590534,0.16455245204269886,100.0,100.0,100.0,1.0,7.558872283652818e-08,bi_glcm_morph_plain_silu_L5_d512_bn,2,v6,bi_glcm_morph,plain,silu,batchnorm,5,512,v5_champion,0.001,1083,627,91.6
model,0.6791413426399231,0.9369856119155884,1.7221318557858467,4.570382833480835,5.9134898928761785,0.9577168822288513,0.8376740217208862,0.493511438369751,0.9499064683914185,0.06924521923065186,0.7666804790496826,3.7880510091781616,2.3294180631637573,0.5471074022352695,3.2177161425352097,0.3016192000359297,0.1489188987761736,100.0,100.0,100.0,1.0,6.957237275173611e-08,bi_glcm_morph_residual_silu_L10_d256_nonorm,2,v6,bi_glcm_morph,residual,silu,none,10,256,v5_champion,0.001,1083,562,160.2
model,0.6584217548370361,0.9400587677955627,1.7015675082802773,4.519239440560341,7.292025843656838,0.9610256552696228,0.8474862575531006,0.5446232557296753,0.9523178935050964,0.009774386882781982,0.6351437568664551,3.6623485386371613,2.374514937400818,0.5205329041928053,3.1402677297592163,0.3149846801534295,0.196764525026083,100.0,100.0,100.0,1.0,7.504593924068104e-08,bi_glcm_morph_residual_silu_L12_d256_bn,2,v6,bi_glcm_morph,residual,silu,batchnorm,12,256,deep,0.001,1083,628,272.1
model,0.6907661557197571,0.9402250051498413,1.7183316871523857,4.466148093342781,7.440675800836146,0.9597099423408508,0.8491064310073853,0.622567892074585,0.9515358805656433,0.10352271795272827,0.6580164432525635,3.7383433431386948,2.3007959127426147,0.5101383198052645,3.2198484987020493,0.32719841692596674,0.21368323359638453,100.0,100.0,100.0,1.0,7.492882758697306e-08,bi_glcm_morph_residual_silu_L16_d256_bn_lr0.0005,2,v6,bi_glcm_morph,residual,silu,batchnorm,16,256,deep,0.0005,1083,664,359.1
model,0.6863260269165039,0.940441370010376,1.703844964504242,4.448030516505241,7.853217599382881,0.9601559638977051,0.8398472666740417,0.6301772594451904,0.9532315731048584,0.002040684223175049,0.7323824167251587,3.682640939950943,2.3528827354311943,0.4822154529392719,3.1383927911520004,0.3431028453633189,0.22385565098375082,100.0,100.0,100.0,1.0,7.55165743271391e-08,bi_glcm_morph_residual_silu_L20_d256_bn_lr0.0005,2,v6,bi_glcm_morph,residual,silu,batchnorm,20,256,deep,0.0005,1083,621,411.6
model,0.7323196530342102,0.9396180510520935,1.6803372651338577,4.394187033176422,6.9154120273934305,0.9572241306304932,0.841432511806488,0.6306580305099487,0.9519608020782471,0.1732047200202942,0.8393282294273376,3.753979876637459,2.2458555176854134,0.4284543450921774,3.2271917909383774,0.28555886819958687,0.1409948104992509,100.0,100.0,100.0,1.0,7.449513361734716e-08,bi_glcm_morph_plain_silu_L5_d2048_bn_lr0.0005,2,v6,bi_glcm_morph,plain,silu,batchnorm,5,2048,wide,0.0005,1083,647,117.0
model,0.7120111584663391,0.9406973719596863,1.688036136329174,4.417605698108673,7.928519172272595,0.959578275680542,0.8510575294494629,0.651929497718811,0.9510107636451721,0.16353386640548706,0.694857656955719,3.7261459976434708,2.2023266181349754,0.48691025003790855,3.172880783677101,0.31715845689177513,0.2228092635050416,100.0,100.0,100.0,1.0,7.334397622571487e-08,bi_glcm_morph_residual_silu_L10_d1024_bn_lr0.0005,2,v6,bi_glcm_morph,residual,silu,batchnorm,10,1024,deep+wide,0.0005,1083,609,256.9
model,0.6826968193054199,0.9412437677383423,1.6858888790011406,4.429564252495766,7.787004407536683,0.9611440300941467,0.8429267406463623,0.6043591499328613,0.9538084268569946,-0.00748133659362793,0.7412976026535034,3.6349110305309296,2.3226238787174225,0.4609426483511925,3.1191935762763023,0.35843723453581333,0.21924234461039305,100.0,100.0,100.0,1.0,7.32365492694953e-08,bi_glcm_morph_residual_silu_L11_d1024_bn_lr0.0005,2,v6,bi_glcm_morph,residual,silu,batchnorm,11,1024,deep+wide,0.0005,1083,610,280.0
model,0.6521557569503784,0.9369328618049622,1.7428617924451828,4.629362002015114,8.195380472175593,0.9598484635353088,0.8337527513504028,0.476324200630188,0.9499310255050659,0.04846829175949097,0.6444848775863647,3.7299372255802155,2.3511700332164764,0.5499592982232571,3.2057709991931915,0.3670206293463707,0.25332486256957054,100.0,100.0,100.0,1.0,7.511853539199365e-08,bi_glcm_morph_residual_silu_L12_d1024_bn_lr0.0005,2,v6,bi_glcm_morph,residual,silu,batchnorm,12,1024,deep+wide,0.0005,1083,584,289.0
model,0.5090539455413818,0.8996449708938599,3.8801006972789764,7.7043138444423676,8.386728628935757,0.9212541580200195,0.8494930267333984,0.882353663444519,0.9288252592086792,-1.3861172199249268,0.8583147525787354,5.154117941856384,5.8245837688446045,5.8590274304151535,5.838996544480324,0.26637203991413116,0.3375350730493665,100.0,100.0,100.0,1.0,7.072979002487045e-08,bi_glcm_morph_plain_silu_L5_d1024_bn,3,v6,bi_glcm_morph,plain,silu,batchnorm,5,1024,wide,0.001,1083,638,96.9
model,0.5023614168167114,0.9020666480064392,3.7331808358430862,7.594861090183258,7.727037102416095,0.9176286458969116,0.8477762341499329,0.8862297534942627,0.935527503490448,-1.4629545211791992,0.8897833228111267,5.297314748167992,5.697063729166985,5.362339690327644,5.489527806639671,0.25688724126666784,0.2959650009870529,100.0,100.0,100.0,1.0,6.973954924660575e-08,bi_glcm_morph_plain_silu_L5_d512_bn,3,v6,bi_glcm_morph,plain,silu,batchnorm,5,512,v5_champion,0.001,1083,768,119.0
model,0.591160237789154,0.9115300178527832,3.7764061242341995,7.237476855516434,8.509722246988197,0.9214991927146912,0.8631936311721802,0.9020522236824036,0.9397766590118408,-0.9620776176452637,0.8823828101158142,5.3261201828718185,5.651891231536865,5.437857285141945,5.646006017923355,0.27804814744740725,0.31855152919888496,100.0,100.0,100.0,1.0,6.936294028037082e-08,bi_glcm_morph_residual_silu_L10_d256_nonorm,3,v6,bi_glcm_morph,residual,silu,none,10,256,v5_champion,0.001,1083,552,159.9
