fold,feature_set,config,n_features,r2,mae,time,n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,reg_lambda,subsample,colsample_bytree,subsample_freq
1,VegIdx+RedEdge+TC+NDTI+CRI1,depth_none,408,0.7108166184182885,4.058372378097004,37.158135414123535,500,-1,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,leaves15,408,0.7145325403900112,4.060856187297046,22.01888918876648,500,6,0.05,15,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,leaves63,408,0.7099749315227393,4.075926731105755,31.818813800811768,500,6,0.05,63,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,leaves127,408,0.7099749315227393,4.075926731105755,32.18143653869629,500,6,0.05,127,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,leaves255,408,0.7099749315227393,4.075926731105755,32.44749712944031,500,6,0.05,255,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,lr0.01,408,0.7125544728212635,4.327983899031718,30.753215074539185,500,6,0.01,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,lr0.1,408,0.722210002293494,4.088075878793653,29.03286099433899,500,6,0.1,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,lr0.2,408,0.7136694321509833,4.25631963906463,29.52843403816223,500,6,0.2,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,reg0.0,408,0.7172310098553162,4.060283370587286,28.175530910491943,500,6,0.05,31,20,0.0,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,reg1.0,408,0.7187275424068461,4.045407441708639,29.026968479156494,500,6,0.05,31,20,1.0,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,reg5.0,408,0.7202175126835512,4.063719197258086,28.46652841567993,500,6,0.05,31,20,5.0,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,reg10.0,408,0.7297306763186678,4.0358736538385145,28.498530864715576,500,6,0.05,31,20,10.0,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,ss0.6,408,0.7197946036674662,4.0132468135963855,26.97841715812683,500,6,0.05,31,20,0.1,0.6,0.85,1.0
1,VegIdx+RedEdge+TC+NDTI+CRI1,ss0.7,408,0.7227560157001407,4.0177800288894705,28.006309509277344,500,6,0.05,31,20,0.1,0.7,0.85,1.0
