model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.7312042713165283,0.8847635984420776,4.040936008095741,8.077707886695862,8.913184331577261,0.923743724822998,0.7125871181488037,0.8646326065063477,0.9531822204589844,0.050443828105926514,0.8825663924217224,6.144526228308678,7.193709164857864,5.788883939385414,4.3895334005355835,0.22583024110645056,0.5031481850892305,100.0,100.0,100.0,1.0,6.862304502419647e-08,best5_residual_silu_L11_d1024_bn_lr0.0005,1,v5_5_arch,best5,residual,silu,batchnorm,11,1024,deep+wide,0.0005,633,616,297.9
model,0.7509041428565979,0.9093369841575623,3.634767234325409,7.300274819135666,8.875034564095698,0.9263005256652832,0.7869782447814941,0.9052062034606934,0.9601413011550903,0.05670905113220215,0.8700224757194519,5.954170599579811,6.257735192775726,4.851736500859261,3.982429951429367,0.2534708706662059,0.509058590978384,100.0,100.0,100.0,1.0,6.999000135010647e-08,best5_residual_silu_L12_d1024_bn_lr0.0005,1,v5_5_arch,best5,residual,silu,batchnorm,12,1024,deep+wide,0.0005,633,630,324.0
model,0.7474164962768555,0.9076393246650696,3.6378201097249985,7.344410568475723,8.53305922379554,0.9277334809303284,0.7743316888809204,0.9034760594367981,0.9604360461235046,0.0424419641494751,0.875993549823761,5.836843699216843,6.485974043607712,4.889911785721779,3.943503275513649,0.20700471941381693,0.4637164529412985,100.0,100.0,100.0,1.0,6.989687761915775e-08,best5_v2_residual_silu_L12_d256_bn,1,v5_5_arch,best5_v2,residual,silu,batchnorm,12,256,deep,0.001,813,637,300.5
model,0.7532641291618347,0.9088683724403381,3.620724380016327,7.315295934677124,8.433902181793773,0.9213144779205322,0.7775467038154602,0.912533164024353,0.9601665735244751,0.07629919052124023,0.8716436624526978,6.038937717676163,6.518124043941498,4.600008577108383,3.906524181365967,0.19613823387771845,0.4646299872547388,100.0,100.0,100.0,1.0,6.988840794974749e-08,best5_v2_residual_silu_L16_d256_bn_lr0.0005,1,v5_5_arch,best5_v2,residual,silu,batchnorm,16,256,deep,0.0005,813,738,425.5
model,0.7541379332542419,0.9089357852935791,3.524479642510414,7.2907887399196625,8.087761240604909,0.9291497468948364,0.7780361175537109,0.9037049412727356,0.9616290926933289,0.07812297344207764,0.874097466468811,5.694916844367981,6.258537620306015,4.752853512763977,3.820224478840828,0.1690614502876997,0.45130099169909954,100.0,100.0,100.0,1.0,7.04243419136219e-08,best5_v2_residual_silu_L20_d256_bn_lr0.0005,1,v5_5_arch,best5_v2,residual,silu,batchnorm,20,256,deep,0.0005,813,750,527.3
model,0.7453739047050476,0.9128566980361938,3.4786175936460495,7.199368625879288,8.351473827694942,0.9340183734893799,0.7847851514816284,0.9126008749008179,0.9598012566566467,0.033914148807525635,0.8470357656478882,5.5176228284835815,6.2608420848846436,4.472576826810837,3.955376520752907,0.17322511412203312,0.4920909181237221,100.0,100.0,100.0,1.0,7.091032472317238e-08,best5_v2_plain_silu_L5_d1024_bn,1,v5_5_arch,best5_v2,plain,silu,batchnorm,5,1024,wide,0.001,813,616,101.8
model,0.7522987723350525,0.9132747650146484,3.469674289226532,7.187405228614807,8.789571778675857,0.9313388466835022,0.7968991994857788,0.9114856123924255,0.9587854146957397,0.06263691186904907,0.852577805519104,5.6497178971767426,5.848511680960655,4.548556357622147,4.014240205287933,0.22631024476140738,0.5307116080075502,100.0,100.0,100.0,1.0,7.034863358512666e-08,best5_v2_plain_silu_L5_d2048_bn_lr0.0005,1,v5_5_arch,best5_v2,plain,silu,batchnorm,5,2048,wide,0.0005,813,569,104.9
model,0.761358916759491,0.9138467311859131,3.5324931144714355,7.067647576332092,8.334386590833972,0.9312376379966736,0.7854096293449402,0.9120237231254578,0.9633947610855103,0.07252132892608643,0.9034827351570129,5.728771537542343,6.331707537174225,4.725361242890358,3.821505606174469,0.17835366306826472,0.40927608497440815,100.0,100.0,100.0,1.0,7.029811399661412e-08,best5_v2_residual_silu_L10_d1024_bn_lr0.0005,1,v5_5_arch,best5_v2,residual,silu,batchnorm,10,1024,deep+wide,0.0005,813,763,312.7
model,0.7363267540931702,0.9068908095359802,3.619181737303734,7.4448756873607635,8.432995499632082,0.9315995573997498,0.7667753100395203,0.9047022461891174,0.9598137140274048,0.04737967252731323,0.8076066374778748,5.727853253483772,6.417897343635559,4.891423508524895,3.8945794105529785,0.19934431184083223,0.583994947373867,100.0,100.0,100.0,1.0,6.791181306198268e-08,best5_v2_residual_silu_L11_d1024_bn_lr0.0005,1,v5_5_arch,best5_v2,residual,silu,batchnorm,11,1024,deep+wide,0.0005,813,770,345.2
model,0.7316483855247498,0.8980622887611389,3.7733878940343857,7.632338255643845,8.844417107968715,0.9314892292022705,0.7402099370956421,0.8819010853767395,0.9619828462600708,8.32676887512207e-05,0.874152660369873,5.751455202698708,6.701681762933731,5.508020147681236,3.9463892579078674,0.23439850192517042,0.4983860068023205,100.0,100.0,100.0,1.0,7.056294037965927e-08,best5_v2_residual_silu_L12_d1024_bn_lr0.0005,1,v5_5_arch,best5_v2,residual,silu,batchnorm,12,1024,deep+wide,0.0005,813,629,305.1
