version,model_type,config,feature_set,n_features,fold,r2_uniform,mae_mean_pp
LGBM,LightGBM,reg0.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7172310098553162,4.060283370587286
LGBM,LightGBM,reg1.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7187275424068461,4.045407441708639
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7202175126835512,4.063719197258086
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7297306763186678,4.0358736538385145
LGBM,LightGBM,ss0.6,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7197946036674662,4.0132468135963855
LGBM,LightGBM,ss0.7,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7227560157001407,4.017780028889471
LGBM,LightGBM,ss1.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7131780022417907,4.051805186263529
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7231656086476227,4.033802486304468
LGBM,LightGBM,cs0.7,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7137024322819338,4.027616214143481
LGBM,LightGBM,cs1.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7170198188605451,4.071293928889935
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7271828090114939,4.046433951428476
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.716342819346183,4.078701713151476
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7341004056881286,4.153621335186926
LGBM,LightGBM,strong_deep,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.723578554895366,4.062665335457209
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7278667985321804,3.9838488323711143
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.733998642036358,4.009954824409177
LGBM,LightGBM,strong_wide,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7271492595539062,3.960225431176439
