name,r2_mean,r2_std,mae_mean,mae_std,ait_mean,ait_std,n_folds,epochs_mean,elapsed_mean,n_features,n_params,feature_set,arch,activation,norm_type
full_no_deltas_residual_gelu_L8_d256_idrop0.1,0.42226943373680115,,5.668662488460541,,9.728505924125221,,1,2.0,0.4,1428.0,2475270.0,full_no_deltas,residual,gelu,layernorm
bands_indices_hog_residual_gelu_L12_d256,0.4222674071788788,,6.843423843383789,,10.052154936495489,,1,2.0,0.5,1002.0,3419910.0,bands_indices_hog,residual,gelu,layernorm
full_no_deltas_residual_relu_L10_d256,0.4215715825557709,,5.251089856028557,,9.628741889325468,,1,2.0,0.5,1428.0,3002118.0,full_no_deltas,residual,relu,layernorm
bands_indices_hog_residual_gelu_L8_d256_idrop0.1,0.421551376581192,,5.529141426086426,,9.576491603294336,,1,2.0,0.4,1002.0,2366214.0,bands_indices_hog,residual,gelu,layernorm
bands_indices_glcm_lbp_residual_silu_L8_d256_nonorm,0.42092952132225037,,5.553747341036797,,10.165353872372497,,1,2.0,0.3,924.0,2341638.0,bands_indices_glcm_lbp,residual,silu,none
bands_indices_texture_plain_silu_L3_d256,0.4203985631465912,,5.6735798716545105,,10.508198398333695,,1,2.0,0.2,1368.0,485126.0,bands_indices_texture,plain,silu,layernorm
bands_indices_glcm_lbp_plain_mish_L5_d256,0.4203681945800781,,5.341610312461853,,9.856150646201554,,1,2.0,0.2,924.0,504070.0,bands_indices_glcm_lbp,plain,mish,layernorm
all_full_residual_mish_L6_d256_nonorm,0.4196337163448334,,6.0147300362586975,,9.636497071742665,,1,2.0,0.3,3534.0,2483974.0,all_full,residual,mish,none
bands_indices_glcm_lbp_plain_silu_L5_d256,0.4193679392337799,,5.333320796489716,,9.86303997956788,,1,2.0,0.2,924.0,504070.0,bands_indices_glcm_lbp,plain,silu,layernorm
bands_indices_texture_plain_mish_L3_d256,0.41872966289520264,,5.64134418964386,,10.486125756799828,,1,2.0,0.2,1368.0,485126.0,bands_indices_texture,plain,mish,layernorm
bands_indices_plain_mish_L3_d256,0.41853955388069153,,6.960376352071762,,10.8787469923774,,1,2.0,0.2,798.0,339206.0,bands_indices,plain,mish,layernorm
bands_indices_hog_residual_relu_L10_d256_lr0.0005,0.41816839575767517,,5.5229369550943375,,9.836289389204357,,1,2.0,0.4,1002.0,2893062.0,bands_indices_hog,residual,relu,layernorm
bands_indices_residual_relu_L4_d256,0.41809165477752686,,5.609628185629845,,9.615708837276937,,1,2.0,0.3,798.0,1260294.0,bands_indices,residual,relu,layernorm
bands_indices_hog_residual_geglu_L6_d128,0.4165816307067871,,6.618653982877731,,10.92417446632124,,1,2.0,0.4,1002.0,724614.0,bands_indices_hog,residual,geglu,layernorm
bands_indices_glcm_lbp_residual_mish_L8_d256_nonorm,0.41649845242500305,,5.998003110289574,,10.115442860096875,,1,2.0,0.3,924.0,2341638.0,bands_indices_glcm_lbp,residual,mish,none
bands_indices_hog_residual_relu_L12_d256,0.41629767417907715,,5.28138093650341,,9.731926786849387,,1,2.0,0.5,1002.0,3419910.0,bands_indices_hog,residual,relu,layernorm
bands_indices_residual_mish_L12_d128_nonorm,0.4158419668674469,,5.782495439052582,,10.58454648308998,,1,2.0,0.5,798.0,894086.0,bands_indices,residual,mish,none
full_no_deltas_residual_relu_L6_d128,0.4158095419406891,,5.3892359137535095,,10.208666238009275,,1,2.0,0.3,1428.0,580998.0,full_no_deltas,residual,relu,layernorm
bands_indices_glcm_lbp_plain_relu_L5_d256,0.41575583815574646,,5.311353504657745,,10.00014614708517,,1,2.0,0.2,924.0,504070.0,bands_indices_glcm_lbp,plain,relu,layernorm
bands_indices_glcm_lbp_residual_mish_L12_d128_nonorm,0.4156803786754608,,6.046509370207787,,10.023505403337602,,1,2.0,0.4,924.0,910214.0,bands_indices_glcm_lbp,residual,mish,none
full_no_deltas_residual_relu_L6_d256,0.4154929220676422,,5.303007736802101,,9.39195307909827,,1,2.0,0.4,1428.0,1948422.0,full_no_deltas,residual,relu,layernorm
bands_indices_hog_residual_silu_L8_d256,0.4153335988521576,,5.885014310479164,,9.960674114849711,,1,2.0,0.4,1002.0,2366214.0,bands_indices_hog,residual,silu,layernorm
