model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,head,feature_set,n_features,epochs,elapsed_s
model,0.7539141178131104,0.9104984402656555,3.5162486135959625,7.217508554458618,8.368486133482516,0.9302544593811035,0.7869368195533752,0.90498948097229,0.9593326449394226,0.042901694774627686,0.8989932537078857,5.667223036289215,6.094469130039215,4.750476032495499,3.972242772579193,0.17925521824508905,0.4338477272540331,100.0,100.0,100.0,1.0,7.07891416595885e-08,bi_MP_Gabor_residual_silu_L20_d256_bn_lr0.0005,1,v10,ilr_v4,bi_MP_Gabor,996,709,383.0
model,0.7629080414772034,0.9149601459503174,3.434794768691063,7.0310890674591064,8.689470678083145,0.9323351383209229,0.7912483215332031,0.912110447883606,0.9634406566619873,0.07678860425949097,0.9014606475830078,5.460269004106522,6.093979999423027,4.613202810287476,3.7942953407764435,0.21265181712806225,0.43439390137791634,100.0,100.0,100.0,1.0,7.16083121687916e-08,bi_LBP_MP_Gabor_plain_silu_L5_d1024_bn,1,v10,ilr_v4,bi_LBP_MP_Gabor,1062,561,71.5
model,0.7694792747497559,0.9187933802604675,3.391682356595993,6.899803131818771,8.875124449174903,0.937267005443573,0.8045202493667603,0.9151056408882141,0.9630110263824463,0.1023375391960144,0.8945739269256592,5.351701006293297,5.888181552290916,4.5456599444150925,3.861025348305702,0.22968333214521408,0.4738735035061836,100.0,100.0,100.0,1.0,6.895873383427897e-08,bi_LBP_MP_Gabor_plain_silu_L5_d512_bn,1,v10,ilr_v4,bi_LBP_MP_Gabor,1062,568,73.3
model,0.7537612318992615,0.91297847032547,3.53386290371418,7.167869806289673,9.208036909408138,0.9331448078155518,0.7981898188591003,0.9056009650230408,0.9608166813850403,0.059376418590545654,0.8653750419616699,5.588652566075325,5.984752252697945,4.787659645080566,4.00940515100956,0.283673545345664,0.5490482319146395,100.0,100.0,100.0,1.0,6.962101650742625e-08,bi_LBP_MP_Gabor_residual_silu_L20_d256_bn_lr0.0005,1,v10,ilr_v4,bi_LBP_MP_Gabor,1062,576,294.0
model,0.752162754535675,0.9135985970497131,3.4347090870141983,7.0709481835365295,7.85595736327317,0.9254415035247803,0.7863278388977051,0.9154670238494873,0.9636414051055908,0.006724357604980469,0.915296196937561,5.839784815907478,6.025164946913719,4.367951303720474,3.813409060239792,0.1860311720520258,0.3759444458410144,100.0,100.0,100.0,1.0,6.354257919838346e-08,bi_LBP_softmax_geglu_L3_h1024,1,v10,softmax_geglu,bi_LBP,864,49,23.6
model,0.32816675305366516,0.8947216868400574,4.679115489125252,8.18283036351204,11.10417152983207,0.9126204252243042,0.781034529209137,0.8936091661453247,0.9482880234718323,-2.3022782802581787,0.7355238199234009,6.901971995830536,5.981133133172989,5.78746534883976,5.013486370444298,2.0815137773752213,2.30906680226326,100.0,100.0,100.0,1.0,5.697364358070445e-08,bi_LBP_dirichlet_geglu_L3_h1024,1,v10,dirichlet_geglu,bi_LBP,864,53,25.7
model,0.6537628769874573,0.9011988639831543,3.6667611449956894,7.5403667986392975,8.217742336097826,0.925007700920105,0.7436010837554932,0.8957594037055969,0.9625916481018066,-0.5174655914306641,0.9129648208618164,5.927680060267448,6.6541314125061035,4.872676730155945,3.9326507598161697,0.23830609861761332,0.375143438577652,100.0,100.0,100.0,1.0,6.317342382544666e-08,bi_MP_Gabor_softmax_geglu_L3_h1024,1,v10,softmax_geglu,bi_MP_Gabor,996,43,21.1
model,0.26834985613822937,0.9000434279441833,4.652426764369011,8.007735013961792,11.170974625420554,0.9199032783508301,0.7877771854400635,0.901667594909668,0.9486417770385742,-2.699413776397705,0.751276969909668,6.491910666227341,5.9941366314888,5.744367837905884,5.053951591253281,2.2208407521247864,2.4093154817819595,100.0,100.0,100.0,1.0,5.716040973879899e-08,bi_MP_Gabor_dirichlet_geglu_L3_h1024,1,v10,dirichlet_geglu,bi_MP_Gabor,996,49,24.2
model,0.7379510998725891,0.9003066420555115,3.6612626165151596,7.611250132322311,7.881484576395143,0.9261367321014404,0.7457056045532227,0.8954002857208252,0.9591702222824097,0.04324829578399658,0.857968270778656,5.7937998324632645,6.602626293897629,4.977739602327347,3.968532383441925,0.16332966042682528,0.46156635507941246,100.0,100.0,100.0,1.0,6.232415472595676e-08,bi_LBP_MP_Gabor_softmax_geglu_L3_h1024,1,v10,softmax_geglu,bi_LBP_MP_Gabor,1062,48,24.0
model,0.29994750022888184,0.8703852891921997,4.955591261386871,8.947890251874924,11.089591661654447,0.9003289341926575,0.7226128578186035,0.8528814911842346,0.9449390172958374,-2.3489415645599365,0.7276031970977783,7.175573706626892,6.531709432601929,6.563549488782883,5.1167648285627365,2.0604079589247704,2.2856349125504494,100.0,100.0,100.0,1.0,5.769655686549413e-08,bi_LBP_MP_Gabor_dirichlet_geglu_L3_h1024,1,v10,dirichlet_geglu,bi_LBP_MP_Gabor,1062,56,28.1
